moniker,centralised_exchange_wallet,remarks,val_address,acc_address,prop_69_vote,tokens,shares,ts_ratio,height
chainflow-cosmos-prodval-01,,,cosmosvaloper1j0vaeh27t4rll7zhmarwcuq8xtrmvqhudrgcky,cosmos1j0vaeh27t4rll7zhmarwcuq8xtrmvqhughud6h,VOTE_OPTION_NO,614474774406,614536228008,0.9999,10562840
Atomic Wallet,,DEX https://atomicwallet.io/,cosmosvaloper1hjadhj9nqzpye2vkmkz4thahhd0z8dh3udhq74,cosmos1hjadhj9nqzpye2vkmkz4thahhd0z8dh3eer4jx,VOTE_NIL,593656532473,593715903618,0.9999000007,10562840
🌐 KysenPool Sky ☁️,,,cosmosvaloper146kwpzhmleafmhtaxulfptyhnvwxzlvm87hwnm,cosmos146kwpzhmleafmhtaxulfptyhnvwxzlvmz2rmlg,VOTE_NIL,592003881508,592003881508,1,10562840
pe4x72,,,cosmosvaloper1rwh0cxa72d3yle3r4l8gd7vyphrmjy2kpe4x72,cosmos1rwh0cxa72d3yle3r4l8gd7vyphrmjy2kydpnje,VOTE_NIL,579719506152,579719506152,1,10562840
Blockdaemon,,,cosmosvaloper10nzaaeh2kq28t3nqsh5m8kmyv90vx7ym5mpakx,cosmos10nzaaeh2kq28t3nqsh5m8kmyv90vx7ym304g64,VOTE_NIL,568794319822,568851204746,0.9999000003,10562840
Notional,,,cosmosvaloper1083svrca4t350mphfv9x45wq9asrs60cdmrflj,cosmos1083svrca4t350mphfv9x45wq9asrs60cg0hunp,VOTE_OPTION_NO_WITH_VETO,551891456207,551891456207,1,10562840
DragonStake,,,cosmosvaloper15r4tc0m6hc7z8drq3dzlrtcs6rq2q9l2nvwher,cosmos15r4tc0m6hc7z8drq3dzlrtcs6rq2q9l2kc6z4s,VOTE_NIL,531406217698,531406217698,1,10562840
Umbrella ☔,,,cosmosvaloper1lktjhnzkpkz3ehrg8psvmwhafg56kfss3q3t8m,cosmos1lktjhnzkpkz3ehrg8psvmwhafg56kfss5597tg,VOTE_OPTION_NO_WITH_VETO,508277759549,508277759549,1,10562840
HyperblocksPro,,,cosmosvaloper1ul2me6vukg2vac2p6ltxmqlaa7jywdgt8q76ag,cosmos1ul2me6vukg2vac2p6ltxmqlaa7jywdgtz5203m,VOTE_NIL,497885893813,498384053381,0.9990004504,10562840
HashQuark,,"regulatory policy requirements, we hereby reiterate that HashQuark does not provide service or accept user from countries or jurisdictions, including but not limited to, the Mainland China, the United States of America including Puerto Rico, American Samoa (not Samoa), Guam, the Northern Mariana Islands, and the Virgin Islands of the United States (St. Croix, St. John Island, and St. Thomas). https://www.hashquark.io/",cosmosvaloper1cgh5ksjwy2sd407lyre4l3uj2fdrqhpkzp06e6,cosmos1cgh5ksjwy2sd407lyre4l3uj2fdrqhpk84m04f,VOTE_NIL,487457621333,487457621333,1,10562840
AUDIT.one,,,cosmosvaloper1udpsgkgyutgsglauk9vk9rs03a3skc62gup9ny,cosmos1udpsgkgyutgsglauk9vk9rs03a3skc62dg4slh,VOTE_OPTION_NO,468972637250,468972637250,1,10562840
commercio.network,,,cosmosvaloper1fqzqejwkk898fcslw4z4eeqjzesynvrdfr5hte,cosmos1fqzqejwkk898fcslw4z4eeqjzesynvrdvhqz82,VOTE_OPTION_NO_WITH_VETO,452525974882,452525974882,1,10562840
Ztake.org,,,cosmosvaloper102ruvpv2srmunfffxavttxnhezln6fnc54at8c,cosmos102ruvpv2srmunfffxavttxnhezln6fnc3pf7tt,VOTE_NIL,449761534375,449851499933,0.9998000105,10562840
